tithi_date;tithi_day;tithi_time;
14.02.2023;24;06:34;1
15.02.2023;25;05:09;1
16.02.2023;26;03:02;1
17.02.2023;27;00:19;0
17.02.2023;28;21:06;1
18.02.2023;29;17:32;1
19.02.2023;30;13:48;1
20.02.2023;1;10:05;1
21.02.2023;2;06:35;1
22.02.2023;3;03:28;1
23.02.2023;4;00:54;0
23.02.2023;5;23:03;1
24.02.2023;6;22:01;1
25.02.2023;7;21:50;1
26.02.2023;8;22:29;1
27.02.2023;9;23:51;1
28.02.2023;9;[весь день];1
01.03.2023;10;01:49;1
02.03.2023;11;04:09;1
03.03.2023;12;06:41;1
04.03.2023;13;09:13;1
05.03.2023;14;11:37;1
06.03.2023;15;13:47;1
07.03.2023;16;15:40;1
08.03.2023;17;17:13;1
09.03.2023;18;18:24;1
10.03.2023;19;19:12;1
11.03.2023;20;19:36;1
12.03.2023;21;19:31;1
13.03.2023;22;18:57;1
14.03.2023;23;17:52;1
15.03.2023;24;16:16;1
16.03.2023;25;14:09;1
17.03.2023;26;11:37;1
18.03.2023;27;08:44;1
19.03.2023;28;05:37;1
20.03.2023;29;02:25;0
20.03.2023;30;23:17;1
21.03.2023;1;20:23;1
22.03.2023;2;17:51;1
23.03.2023;3;15:51;1
24.03.2023;4;14:30;1
25.03.2023;5;13:53;1
26.03.2023;6;14:03;1
27.03.2023;7;14:58;1
28.03.2023;8;16:32;1
29.03.2023;9;18:37;1
30.03.2023;10;21:00;1
31.03.2023;11;23:28;1
01.04.2023;11;[весь день];1
02.04.2023;12;01:50;1
03.04.2023;13;03:54;1
04.04.2023;14;05:35;1
05.04.2023;15;06:49;1
06.04.2023;16;07:34;1
07.04.2023;17;07:51;1
08.04.2023;18;07:41;1
09.04.2023;19;07:05;1
10.04.2023;20;06:07;1
11.04.2023;21;04:48;1
12.04.2023;22;03:09;1
13.04.2023;23;01:14;0
13.04.2023;24;23:04;1
14.04.2023;25;20:43;1
15.04.2023;26;18:15;1
16.04.2023;27;15:44;1
17.04.2023;28;13:16;1
18.04.2023;29;10:57;1
19.04.2023;30;08:54;1
20.04.2023;1;07:12;1
21.04.2023;2;05:59;1
22.04.2023;3;05:19;1
23.04.2023;4;05:17;1
24.04.2023;5;05:55;1
25.04.2023;6;07:10;1
26.04.2023;7;08:58;1
27.04.2023;8;11:09;1
28.04.2023;9;13:31;1
29.04.2023;10;15:52;1
30.04.2023;11;17:59;1
01.05.2023;12;19:40;1
02.05.2023;13;20:48;1
03.05.2023;14;21:19;1
04.05.2023;15;21:14;1
05.05.2023;16;20:33;1
06.05.2023;17;19:22;1
07.05.2023;18;17:45;1
08.05.2023;19;15:49;1
09.05.2023;20;13:38;1
10.05.2023;21;11:19;1
11.05.2023;22;08:57;1
12.05.2023;23;06:36;1
13.05.2023;24;04:21;1
14.05.2023;25;02:13;1
15.05.2023;26;00:16;0
15.05.2023;27;22:33;1
16.05.2023;28;21:06;1
17.05.2023;29;19:58;1
18.05.2023;30;19:13;1
19.05.2023;1;18:53;1
20.05.2023;2;19:01;1
21.05.2023;3;19:39;1
22.05.2023;4;20:49;1
23.05.2023;5;22:28;1
24.05.2023;5;[весь день];1
25.05.2023;6;00:31;1
26.05.2023;7;02:49;1
27.05.2023;8;05:13;1
28.05.2023;9;07:27;1
29.05.2023;10;09:19;1
30.05.2023;11;10:38;1
31.05.2023;12;11:16;1
01.06.2023;13;11:09;1
02.06.2023;14;10:18;1
03.06.2023;15;08:47;1
04.06.2023;16;06:41;1
05.06.2023;17;04:09;1
06.06.2023;18;01:19;0
06.06.2023;19;22:20;1
