var_day_number;var_day;var_planet;var_text
6;Воскресенье;день Солнца (Рави-васара);День обретения опоры в собственной душе. Хорошо отдыхать, заниматься духовной практикой, проявлять щедрость и великодушие. Время в кругу семьи, поминания предков, почитания отца.
0;Понедельник; день Луны (Инду-васара);Хорошо заниматься домашними делами, заботиться и кормить, путешествовать, иметь дело с лечебными травами, землей. Благоприятна торговля, взаимодействие с женщинами. Однако, эмоции могут преобладать над разумом, лучше не вступать в споры.
1;Вторник; день Марса (Мангала-васара);День активный, энергичный, хороша физическая нагрузка, соревнование. Лучше работать в команде. Сделки с недвижимостью, ремонт автомобилей, начало лечения и хирургические операции. Есть риск несчастных случаев, вспышек раздражения и агрессии. Лучше сегодня избегать конфликтов, контролировать свои эмоции и сохранять самообладание. Важные события и путешествия лучше отложить.
2;Среда; день Меркурия (Буддха-васара);Легкость, подвижность, ощущение возможностей. День благоприятен для подписания договоров, контрактов, установления связей, коммерции. Обучение, написание текстов. Важно не ловчить ради прибыли, не быть одному, гулять на открытом воздухе.
3;Четверг; день Юпитера (Гуру-васара);Самый благоприятный день недели. Можно обращаться к начальству, вести переговоры, заниматься юридическими вопросами и финансовыми операциями. Свадьбы, закладка фундамента дома или бизнеса, путешествия, духовная практика.
4;Пятница; день Венеры (Шукра-васара);Хорошо в этот день вступать в брак, привнести в отношения некую свежесть, посетить театр или консерваторию, забежать в салон красоты, купить новую вещицу. Благоприятна покупка машины, а также путешествия. Это день гармонии и красоты.
5;Суббота; день Сатурна (Шани-васара);День труда и ограничений. Уборка в доме, освобождение от не нужных вещей, работа с землей, помощь нуждающимся. Это время молитв, поста и духовной практики. В этот день лучше не играть свадьбы, не начинать что-то важное, не переезжать в новый дом. 
